"";"TA";"doc";"url";"page";"term";"portfolio";"context"
"3163";"TA539";"scope-consultation-comments-and-responses.pdf";"https://www.nice.org.uk/guidance/TA539/documents/scope-consultation-comments-and-responses#page=52";"52";"named patient";"0";"                                                     DOTATATE is currently available in 10 European countries (Austria,                     accordingly.                                                      Estonia, France, Finland, Greece, Portugal, Spain, Switzerland,                                                      Denmark and the UK) under compassionate use or named patient                                                      programs for the treatment of NETs.                                                  <U+F0B7>   Lu-177 DOTATATE has been used as a treatment in more than 2,900"
"3165";"TA540";"committee-papers-3.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers-3#page=1";"1";"managed access";"0";"      Cancer Drugs Fund Managed Access Agreement Pembrolizumab for treating relapsed or refractory classical Hodgkin lymphoma"
"3169";"TA540";"committee-papers-3.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers-3#page=10";"10";"managed access";"0";"             personalised summary data, with appropriate controls in place to cover              this. Public Health England will provide a report to NHS England and the              MSD UK Ltd at the end of the managed access period. 8.3          The SACT data set is a mandated data set as part of the Health and              Social Care Information Standards. All necessary governance"
"3170";"TA540";"committee-papers-3.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers-3#page=11";"11";"managed access";"0";"                                                          CONFIDENTIAL UNTIL PUBLISHED 10           Data protection 10.1         The terms of clause 7 (data protection) of the managed access              agreement, as apply between NHS England and MSD UK Ltd , shall also              apply between the parties to this data collection arrangement in relation to"
"3171";"TA540";"committee-papers-3.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers-3#page=12";"12";"managed access";"0";"                                The contents of this document have been                                        redacted as they are confidential - A glossary of terms relating to managed access agreements in the Cancer Drugs Fund is available here."
"3166";"TA540";"committee-papers-3.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers-3#page=3";"3";"managed access";"0";"2            Commencement and period of agreement 2.1          This data collection arrangement shall take effect on publication of the              managed access agreement. The data collection period is anticipated to              conclude July 2022. The process for exiting the Cancer Drugs Fund will              begin at this point and the review of the NICE guidance will start."
"3167";"TA540";"committee-papers-3.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers-3#page=3";"3";"managed access";"0";"             conclude July 2022. The process for exiting the Cancer Drugs Fund will              begin at this point and the review of the NICE guidance will start. 2.2          As part of the managed access agreement, the technology will continue to              be available through the Cancer Drugs Fund after the data collection              period has ended and while the guidance is being reviewed. This"
"3164";"TA540";"committee-papers-3.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers-3#page=4";"4";"compassionate";"0";"                  Product Characteristics (SPC) 3.3          There are no patients receiving pembrolizumab for this indication via              means of a compassionate use or access program. NICE Technology Appraisal Programme: Cancer Drugs Fund Data collection arrangement for the single technology appraisal of pembrolizumab for treating patients"
"3168";"TA540";"committee-papers-3.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers-3#page=7";"7";"managed access";"0";"Systemic Anti-cancer Therapy data set 6.1          Data will be collected via Public Health England’s routine population-wide              data sets, including the SACT data set. During the managed access              agreement period, Public Health England will collect data to provide              information on overall survival and duration of therapy. Public Heath"
"3177";"TA540";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers#page=11";"11";"managed access";"0";"             • they cannot have autologous stem cell transplant or multi-agent                  chemotherapy and              • the conditions of the managed access agreement are followed.              1.3 These recommendations are not intended to affect treatment with              brentuximab vedotin that was started in the NHS before this guidance was"
"3172";"TA540";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers#page=123";"123";"early access";"0";"     squamous non-small cell lung cancer 16. In the UK, in March 2015 pembrolizumab became the first medicine to be granted positive scientific opinion under the MHRA’s Early Access to Medicines Scheme (EAMS) for the treatment of unresectable or metastatic melanoma with progressive, persistent, or recurrent disease on or following treatment with standard of care 17. Pembrolizumab received Promising"
"3174";"TA540";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers#page=123";"123";"early access to medicines";"0";"     squamous non-small cell lung cancer 16. In the UK, in March 2015 pembrolizumab became the first medicine to be granted positive scientific opinion under the MHRA’s Early Access to Medicines Scheme (EAMS) for the treatment of unresectable or metastatic melanoma with progressive, persistent, or recurrent disease on or following treatment with standard of care 17. Pembrolizumab received Promising"
"3173";"TA540";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers#page=343";"343";"early access";"0";"17.     Medicines, Healthcare Products Regulatory A. Pembrolizumab Melanoma Early         Access to Medicines Scientific Opinion - Public Assessment Report. 2015. 18.     Medicines, Healthcare Products Regulatory A. Pembrolizumab NSCLC Early Access         to Medicines Scientific Opinion - Public Assessment Report. 2016. 19.     Carol S. Portlock. Hodgkin Lymphoma (Hodgkin’s Disease)2012. Available from:"
"3176";"TA540";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers#page=349";"349";"named patient";"0";"135.    Adam Gibb CJ, Adrian Bloor,Samar Kulkarni,Tim Illidge,Kim Linton,and John Radford.         Brentuximab vedotin in refractory CD30+ lymphomas: a bridge to allogeneic         transplantation in approximately one quarter of patients treated on a Named Patient         Programme at a single UK center. haematologica. 2013;98(4):611-14. 136.    UK Cancer Research. Hodgkin Lymphoma incidence statistics 2014 [Available from:"
"3175";"TA540";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA540/documents/committee-papers#page=576";"576";"named-patient";"0";"[54] Perrot A, Monjanel H, Bouabdallah R, Quittet P, Sarkozy C, Bernard M, et al. Impact of post- brentuximab vedotin consolidation on relapsed/refractory CD30+ Hodgkin lymphomas: a large retrospective study on 240 patients enrolled in the French Named-Patient Program. Haematologica 2016;101(4):466-73. [55] Kaltenthaler E, Carroll C, Hill-McManus D, Scope A, Holmes M, Rice S, et al. The use of"
"3178";"TA540";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA540/documents/final-appraisal-determination-document#page=1";"1";"managed access";"0";"              <U+F0B7>    pembrolizumab is stopped after 2 years of treatment or earlier if the                    person has a stem cell transplant or the disease progresses and               <U+F0B7>    the conditions in the managed access agreement for pembrolizumab                    are followed. 1.3           These recommendations are not intended to affect treatment with"
"3179";"TA540";"final-scope-2.pdf";"https://www.nice.org.uk/guidance/TA540/documents/final-scope-2#page=4";"4";"managed access";"0";"                             446. Recommendation 1.1 will be updated in June 2020.                              Recommendation 1.2 will be updated when the results                              of the data collection as part of the managed access                              agreement are available.                              Nivolumab for treating relapsed or refractory classical"
"3180";"TA541";"1-5.pdf";"https://www.nice.org.uk/guidance/TA541/documents/1-5#page=10";"10";"compassionate";"0";"                                      CONFIDENTIAL       New evidence: Clinical expert data (1) • Unpublished data taken from IO compassionate use program used at UCLH and    Bristol Jul 2016-2017 (IO treated patients approximately xxx  Patient characteristics                          xxx               xxx"
"3181";"TA541";"1-5.pdf";"https://www.nice.org.uk/guidance/TA541/documents/1-5#page=12";"12";"compassionate";"0";"  SOC has remained uncertain - the cost-effectiveness results are very sensitive to   the assumed difference in length of stay per hospitalisation. • The real world evidence from the compassionate use programme, submitted by   the clinical experts, has a small sample size and data are observational and   unadjusted"
"3182";"TA541";"appeal-letter-3.pdf";"https://www.nice.org.uk/guidance/TA541/documents/appeal-letter-3#page=2";"2";"compassionate";"0";"inpatient stay for the exploratory arm for purely logistic reasons, since patients can rarely afford to take hotel accommodation locally, for a trial duration. Since the conduct of the trial, there has been a compassionate use program for IO within the UK. In one large London leukemia unit, IO has been given on compassionate grounds to 10 patients since the closure of the trial."
"3183";"TA541";"appeal-letter-3.pdf";"https://www.nice.org.uk/guidance/TA541/documents/appeal-letter-3#page=2";"2";"compassionate";"0";"Since the conduct of the trial, there has been a compassionate use program for IO within the UK. In one large London leukemia unit, IO has been given on compassionate grounds to 10 patients since the closure of the trial. Data on length of stay for FLAG, FLAG-Ida or FLA-Ida are also available during a reasonably comparable time period. It would not be unreasonable (nor costly, nor"
"3184";"TA541";"appeal-letter-3.pdf";"https://www.nice.org.uk/guidance/TA541/documents/appeal-letter-3#page=2";"2";"compassionate";"0";"reasonably comparable time period. It would not be unreasonable (nor costly, nor time consuming) to obtain actual length of stay audit data from the real world taking 4 or 5 large units which have used IO on the compassionate program. On a modest scale, this can easily be organised by relevant clinicians and centres. Length of stay data from such an audit will be presented at appeal."
"3185";"TA541";"committee-papers-2.pdf";"portfoliodocument";"495";"compassionate";"1";"acute leukaemia care and they would need the input of the whole leukaemia team including clinical nurse specialists. Inotuzumab is not available outside of clinical trials or on compassionate use. There are no relevant clinical guidelines for relapsed ALL and no standard of care. The advantages and disadvantages of the technology"
"3186";"TA541";"committee-papers-2.pdf";"portfoliodocument";"497";"compassionate";"1";"is consistent with the finding that this drug can be given as an outpatient. We need more experience of the hepatotoxicity of Inotuzumab outside clinical trials but Pfizer will have some data from the compassionate use of the drug which has been a very successful programme. In my Centre we have given the drug to seven adult patients and there has been no significant hepatotoxicity."
"3187";"TA541";"committee-papers-5.pdf";"https://www.nice.org.uk/guidance/TA541/documents/committee-papers-5#page=1";"1";"compassionate";"0";"          <U+F0B7>         Professor David Marks – clinical expert, nominated by Pfizer                        There were no comments received through the NICE website 4.        Unpublished data from the inotuzumab compassionate use program           submitted by the clinical experts 5.        Evidence Review Group critique of company new evidence - prepared by"
"3190";"TA541";"committee-papers-5.pdf";"https://www.nice.org.uk/guidance/TA541/documents/committee-papers-5#page=30";"30";"compassionate";"0";"surely, this must be based in clinical reality? We have been invited to submit 'real world' data collected from two centres, UCLH and Bristol, comparing length of stay for inotuzumab provided to patients on the compassionate use program with patients treated in our institutions receiving FLAG-based regimen. I sincerely hope these data will be taken into account in revising the model."
"3191";"TA541";"committee-papers-5.pdf";"https://www.nice.org.uk/guidance/TA541/documents/committee-papers-5#page=32";"32";"compassionate";"0";"     2        Second we have agreed to use real (robust) clinical data for hospitalisation. The paper from               the UCL and Bristol groups, which Professor Fielding and I have personally been involved               shows the hospitalisation days for Inotuzumab (patients treated on compassionate use) are               far fewer than the hospitalisation days for FLAG-Ida, the SOC comparator. These data will               be submitted shortly to NICE and it is hoped that they are accepted and used to modify the"
"3192";"TA541";"committee-papers-5.pdf";"https://www.nice.org.uk/guidance/TA541/documents/committee-papers-5#page=34";"34";"compassionate";"0";"    FLAG-Ida: Inpatient stay data      Frequency distribution of inpatient days per cycle     Data taken from IO compassionate use xxx             xxx                                   FLAG-Ida versus Inotuzumab                    program xxx"
"3193";"TA541";"committee-papers-5.pdf";"https://www.nice.org.uk/guidance/TA541/documents/committee-papers-5#page=39";"39";"compassionate";"0";"slightly increased toxicity and increased length of stay compared to FLAG. As inotuzumab is not yet recommended by NICE, the patients that have received inotuzumab in practice represent a selected sample that includes patients treated under the compassionate use programme. The clinical experts assert that these patients may be sicker than the average patient who would receive inotuzumab. It is notable that the patients in the real world evidence"
"3188";"TA541";"committee-papers-5.pdf";"https://www.nice.org.uk/guidance/TA541/documents/committee-papers-5#page=6";"6";"compassionate";"0";"                                 clinical reality? We have been invited to submit 'real world' data collected from two centres,                                  UCLH and Bristol, comparing length of stay for inotuzumab provided to patients on the                                  compassionate use program with patients treated in our institutions receiving FLAG-based                                  regimen. I sincerely hope these data will be taken into account in revising the model.                                  https://www.macmillan.org.uk/cancerinformation/cancertreatment/treatmenttypes/chemotherapy/"
"3189";"TA541";"committee-papers-5.pdf";"https://www.nice.org.uk/guidance/TA541/documents/committee-papers-5#page=7";"7";"compassionate";"0";"6         Clinical    On behalf of Second we have agreed to use real (robust) clinical data for hospitalisation. The paper from the    Comment noted. These data           expert      the Royal    UCL and Bristol groups, which Professor Fielding and I have personally been involved shows          have been accepted by the                       College of   the hospitalisation days for Inotuzumab (patients treated on compassionate use) are far fewer       committee for inclusion in the                       Pathologists than the hospitalisation days for FLAG-Ida, the SOC comparator. These data will be submitted        economic modelling. See                       and British  shortly to NICE and it is hoped that they are accepted and used to modify the ICER. The             section 3.29 of the FAD2."
"3194";"TA541";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA541/documents/final-appraisal-determination-document-2#page=26";"26";"compassionate";"0";"              consultation, the clinical experts submitted unpublished observational data               on the average number of inpatient days with inotuzumab ozogamicin and               FLAG-IDA from a compassionate use programme at 2 specialist centres               in England (the results of which were provided as academic in confidence               and therefore cannot be reported here). The committee noted the"
"3195";"TA541";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA541/documents/final-appraisal-determination-document-2#page=28";"28";"compassionate";"0";"                  updated by the ERG)               <U+F0B7> using observational data from the inotuzumab ozogamicin                   compassionate use programme to inform the average number of                   inpatient days for inotuzumab ozogamicin and FLAG-IDA. Inotuzumab ozogamicin is recommended for treating relapsed or refractory B-"
"3196";"TA541";"scrutiny-letter-3.pdf";"https://www.nice.org.uk/guidance/TA541/documents/scrutiny-letter-3#page=2";"2";"compassionate";"0";"process, even if it would equally have been possible to make further enquiry. The Committee has followed NICE's processes. (Finally on this sub point, I note that you offer to provide length of stay data from an audit of a compassionate use programme at an appeal. I am afraid an appeal cannot receive new data that was not presented to the Committee.)"
"3197";"TA542";"1.pdf";"https://www.nice.org.uk/guidance/TA542/documents/1#page=31";"31";"early access";"0";"  as tumour angiogenesis (VEGF). • Cabozantinib granted Promising Innovative Medicine (PIM) designation   under the Early Access to Medicines Scheme (EAMS) in July 2016 • Company and patient groups highlighted that cabozantinib may be more   effective than other treatments in the treatment of bone metastases"
"3198";"TA542";"1.pdf";"https://www.nice.org.uk/guidance/TA542/documents/1#page=31";"31";"early access to medicines";"0";"  as tumour angiogenesis (VEGF). • Cabozantinib granted Promising Innovative Medicine (PIM) designation   under the Early Access to Medicines Scheme (EAMS) in July 2016 • Company and patient groups highlighted that cabozantinib may be more   effective than other treatments in the treatment of bone metastases"
"3200";"TA542";"committee-papers-2.pdf";"portfoliodocument";"32";"managed access";"1";"            by the FDA for the treatment of advanced RCC in 2015. As an innovative, breakthrough therapy,             cabozantinib has been fast tracked for approval in a number of countries, and has been made             available in the UK through a Managed Access Programme by the manufacturer.     2       Cabozantinib is a tyrosine kinase inhibitor, which acts on multiple tyrosine kinase receptors, including             c-MET, VEGF2, AXL and RET. Its c-MET activity may explain its effectiveness against bone"
"3199";"TA542";"committee-papers-2.pdf";"portfoliodocument";"5";"managed access";"1";" number stakeholder     name                        Please insert each new comment in a new row                          Please respond to each comment                                   approval in a number of countries, and has been made available in the UK     Cabozantinib is now recommended for adults with                                   through a Managed Access Programme by the manufacturer.                      untreated advanced renal cell carcinoma Please                                                                                                                see section 1.1 of the FAD. 6       Patient     KCSN          Cabozantinib is a tyrosine kinase inhibitor, which acts on multiple tyrosine Comment noted."
"3203";"TA542";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA542/documents/committee-papers#page=149";"149";"early access";"0";"agents. Cabozantinib was granted Promising Innovative Medicine (PIM) designation under the Early Access to Medicines Scheme (EAMS) in July 2016. B.2.13      Interpretation of clinical effectiveness and safety evidence Conclusions on clinical effectiveness"
"3206";"TA542";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA542/documents/committee-papers#page=149";"149";"early access to medicines";"0";"agents. Cabozantinib was granted Promising Innovative Medicine (PIM) designation under the Early Access to Medicines Scheme (EAMS) in July 2016. B.2.13      Interpretation of clinical effectiveness and safety evidence Conclusions on clinical effectiveness"
"3207";"TA542";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA542/documents/committee-papers#page=533";"533";"managed access";"0";"Patient population 11. Are there any groups of         From the anecdotal evidence we have gathered from the advanced RCC patients in the Kidney Cancer patients who might benefit          Support Network currently taking cabozantinib either through the Managed Access Programme or as a                                     second-line treatment through NHS England, this drug offers hope and an alternative effective treatment more or less from the               to patients who have spread to their bones:"
"3201";"TA542";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA542/documents/committee-papers#page=83";"83";"early access";"0";"efficacy over the more selective, existing anti-VEGFR agents (B.2.12, page 62). Cabozantinib was granted Promising Innovative Medicine (PIM) designation under the Early Access to Medicines Scheme (EAMS) in July 2016. A.17 End-of-life criteria The end-of-life criteria are considered to apply to cabozantinib treatment of"
"3204";"TA542";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA542/documents/committee-papers#page=83";"83";"early access to medicines";"0";"efficacy over the more selective, existing anti-VEGFR agents (B.2.12, page 62). Cabozantinib was granted Promising Innovative Medicine (PIM) designation under the Early Access to Medicines Scheme (EAMS) in July 2016. A.17 End-of-life criteria The end-of-life criteria are considered to apply to cabozantinib treatment of"
"3202";"TA542";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA542/documents/committee-papers#page=95";"95";"early access";"0";"DSA             Deterministic sensitivity analysis DSU             Decision Support Unit EAMS            Early Access to Medicines Scheme EAU             European Association of Urology ECOG            Eastern Cooperative Oncology Group"
"3205";"TA542";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA542/documents/committee-papers#page=95";"95";"early access to medicines";"0";"DSA             Deterministic sensitivity analysis DSU             Decision Support Unit EAMS            Early Access to Medicines Scheme EAU             European Association of Urology ECOG            Eastern Cooperative Oncology Group"
"3208";"TA543";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA543/documents/committee-papers#page=173";"173";"early access";"0";"based on the approach used in TA445; results are presented above in Section B.2.10. Demonstrating radiographic outcomes has become more difficult in the modern era, as early access to treat-to-target strategies have become more commonplace. The design of a study is also complicated by the ethical necessity to limit patient exposure to placebo. The efficacy of tofacitinib 5 mg BD (combined with a background csDMARD)"
"3209";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=177";"177";"compassionate";"0";"B.3.3.6.       Survival adjustments for treatment-switching A number of patients in the chemotherapy arm of the ALFA-0701 study (********** or ***) received GO as follow-up therapy through a compassionate use programme. A feasibility assessment was conducted in order to evaluate whether it would be possible to adjust for this treatment switching in the model but it was not deemed"
"3210";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=350";"350";"compassionate";"0";"between treatment groups was not statistically significant. Patient reported outcomes and health related quality of life (HRQoL) were not assessed in the ALFA-0701 trial. ************** patients in the DA arm received GO as follow-up therapy through a compassionate use programme, which may have confounded overall survival results. Similarly, most patients (***** in GO + DA arm and ***** in DA arm) received at least one follow-up therapy for AML, which may have confounded"
"3211";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=393";"393";"compassionate";"0";"cost-effectiveness. A proportion of patients in the DA group of the ALFA-0701 trial also received a dose of GO as part of the compassionate programme (***** of patients in the overall population of the chemotherapy arm). These costs were not accounted for in the model even though the survival data was not adjusted for cross-over between arms (Section 5.2.6). The approach used by the company is therefore"
"3212";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=397";"397";"compassionate";"0";"practice in the AML disease area. *************** receiving DA alone, subsequently received GO as a follow-up therapy through a compassionate use programme. Although the company undertook a feasibility assessment to determine whether formal adjustment methods could be applied, they concluded that the assumptions 22 March 2018                                                                                            88"
"3213";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=398";"398";"compassionate";"0";"                             Gemtuzumab ozogamicin for treating acute myeloid leukaemia required did not hold and that any adjustments would be unreliable. While the company noted that that the compassionate use programme could bias efficacy in favour of the comparator arm, there remains significant uncertainty surrounding the possible magnitude of this. 5.2.6.3    Survival models"
"3214";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=426";"426";"compassionate";"0";"                                     CRD/CHE University of York ERG Report:                               Gemtuzumab ozogamicin for treating acute myeloid leukaemia     7. The potential confounding effect of compassionate use of GO *************** receiving DA alone, subsequently received GO as a follow-up therapy through a compassionate use programme. Although the company undertook a feasibility assessment to"
"3215";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=426";"426";"compassionate";"0";"    7. The potential confounding effect of compassionate use of GO *************** receiving DA alone, subsequently received GO as a follow-up therapy through a compassionate use programme. Although the company undertook a feasibility assessment to determine whether formal adjustment methods could be applied, they concluded that the assumptions required did not hold and that any adjustments would be unreliable. While the company noted that"
"3216";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=426";"426";"compassionate";"0";"determine whether formal adjustment methods could be applied, they concluded that the assumptions required did not hold and that any adjustments would be unreliable. While the company noted that that the compassionate use programme could bias efficacy in favour of the comparator arm, there remains significant uncertainty surrounding the possible magnitude of this.      8. Uncertainties surrounding the costing assumptions for VOD and HSCT"
"3217";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=462";"462";"compassionate";"0";"veno-occlusive disease (VOD) had         This included * patients in the DA arm who received GO”                             received GO during follow-up as part of the                                          compassionate use program. They Please clarify to avoid confusion        experienced VOD more than 28 days after                                                                                                                                                         4"
"3218";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=477";"477";"compassionate";"0";"DA arm was thrombocytopenia *********************************. All ***** patients who experienced veno-occlusive disease (VOD) had received GO. This included * patients in the DA arm who received GO during follow-up as part of the compassionate use program. They experienced VOD more than 28 days after receiving their last dose of GO (**************). A higher proportion of patients in the GO + DA arm permanently discontinued treatment because of an adverse event than in"
"3219";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=481";"481";"compassionate";"0";"between treatment groups was not statistically significant. Patient reported outcomes and health related quality of life (HRQoL) were not assessed in the ALFA-0701 trial. ************** patients in the DA arm received GO as follow-up therapy through a compassionate use programme, which may have confounded overall survival results. Similarly, most patients (***** in GO + DA arm and"
"3220";"TA545";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA545/documents/committee-papers#page=493";"493";"compassionate";"0";"*********************************. All ***** patients who experienced VOD had received GO. This included * patients in the DA arm who received GO during follow-up as part of the compassionate use program. They experienced VOD more than 28 days after receiving their last dose of GO (**************). A higher proportion of patients in the GO + DA arm permanently discontinued treatment because of an adverse event than in the DA arm *******************."
"3221";"TA553";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA553/documents/final-appraisal-determination-document#page=1";"1";"managed access";"0";"          Cancer Drugs Fund    Managed Access Agreement Pembrolizumab for adjuvant treatment of melanoma       with high risk of recurrence [ID1266]"
"3229";"TA553";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA553/documents/final-appraisal-determination-document#page=10";"10";"managed access";"0";"                                The contents of this document have been                                        redacted as they are confidential - A glossary of terms relating to managed access agreements in the Cancer Drugs Fund is available here."
"3222";"TA553";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA553/documents/final-appraisal-determination-document#page=2";"2";"managed access";"0";"2        Commencement and period of agreement 2.1      This data collection arrangement shall take effect on publication of the              managed access agreement. The estimated availability of data for distant              metastases free survival (DMFS) is ****** and for overall survival (OS) is              ****** (analysis for the study is event driven). The results of the analysis"
"3223";"TA553";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA553/documents/final-appraisal-determination-document#page=3";"3";"managed access";"0";"             Cancer Drugs Fund will begin at this point and the review of the NICE              guidance will start. 2.2      As part of the managed access agreement, the technology will continue to              be available through the Cancer Drugs Fund after the data collection              period has ended and while the guidance is being reviewed. This"
"3224";"TA553";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA553/documents/final-appraisal-determination-document#page=5";"5";"managed access";"0";"5          Source(s) of data collection KEYNOTE-054 5.1        The primary source of data collection during the managed access agreement                period will be KEYNOTE-054. KEYNOTE-054 (NCT02362594) is an                international, double blind, placebo-controlled phase III study of the"
"3225";"TA553";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA553/documents/final-appraisal-determination-document#page=6";"6";"managed access";"0";"             data should resolve the clinical uncertainty, as identified by the NICE              Appraisal Committee, regarding the improvement in DMFS and OS in the              patient population covered by this managed access arrangement. Other data, including SACT 6.2      These data will allow for relevant outcomes to be reported for"
"3226";"TA553";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA553/documents/final-appraisal-determination-document#page=6";"6";"managed access";"0";"6.3      Data will be collected via Public Health England’s routine population-wide              datasets, including the SACT dataset. This collection will support data              collected in the clinical trial. During the managed access agreement              period, Public Health England will collect data to provide information on NICE Technology Appraisal Programme: Cancer Drugs Fund"
"3227";"TA553";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA553/documents/final-appraisal-determination-document#page=8";"8";"managed access";"0";"             summary data, with appropriate controls in place to cover this. Public              Health England will provide a report to NHS England and the MSD at the              end of the managed access period. 8.3      The SACT dataset is a mandated dataset as part of the Health and Social              Care Information Standards. All necessary governance arrangements"
"3228";"TA553";"final-appraisal-determination-document.pdf";"https://www.nice.org.uk/guidance/TA553/documents/final-appraisal-determination-document#page=9";"9";"managed access";"0";"             system, will be planned and implemented by Public Health England. 10       Data protection 10.1     The terms of clause 7 (data protection) of the managed access agreement,              as apply between NHS England and MSD, shall also apply between the              parties to this data collection arrangement in relation to the performance"
"3230";"TA554";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA554/documents/committee-papers#page=190";"190";"expanded access";"0";"                                       situation but this is not actually available for all                                        patients                             <U+F0B7>  A further expanded access study of blinatumomab has                                been identified, the RIALTO study, in which median overall                                survival was 9.8 months (95% CI: 7.1-NE).75"
"3231";"TA554";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA554/documents/committee-papers#page=283";"283";"expanded access";"0";"75. Locatelli F, Zugmaier G, Vora A, et al. Blinatumomab use in pediatric patients (pts) with     relapsed/refractory B-precursor acute lymphoblastic leukemia (r/r ALL) from an open-label,     multicenter, expanded access study: American Society of Clinical Oncology, 2017. 76. Food and Drug Adminstration. FDA approval brings first gene therapy to the United States.     Available at: https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm574058.htm"
"3232";"TA554";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA554/documents/committee-papers#page=539";"539";"expanded access";"0";"CI 4.0 to 11.8 months). Evidence from other trials of blinatumomab also suggests median survival less than 24 months. The TOWER trial reported a median OS of 9.9 months for blinatumomab in patients aged under 35 years of age and the RIALTO trial, an expanded access study of blinatumomab, reported a median OS of 9.8 months. Median survival data for FLA-IDA are not known as no clinical data was found in the relevant population."
"3233";"TA554";"committee-papers.pdf";"https://www.nice.org.uk/guidance/TA554/documents/committee-papers#page=547";"547";"expanded access";"0";"51. Locatelli F, Zugmaier G, Vora A, Rossig C, Peters C, Brethon B. Blinatumomab use in pediatric patients (pts) with relapsed/refractory B-precursor acute lymphoblastic leukemia (r/r ALL) from an open-label, multicenter, expanded access study. J Clin Oncol 2017;35:10530. 52. Ltd NP. B2101J: A Phase I/IIA Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCR zeta and 4-1BB Signaling Domains in Patients with Chemotherapy"
"3234";"TA554";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document-2#page=1";"1";"managed access";"0";"           Cancer Drugs Fund     Managed Access Agreement  Tisagenlecleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people aged"
"3239";"TA554";"final-appraisal-determination-document-2.pdf";"https://www.nice.org.uk/guidance/TA554/documents/final-appraisal-determination-document-2#page=10";"10";"managed access";"0";"          requirements will be discussed if access to the data set is possible. 10           Data protection 10.1      The terms of clause 7 (data protection) of the managed access agreement,           as apply between NHS England and Novartis , shall also apply between the           parties to this data collection arrangement in relation to the performance of"
